char	fast	libc	winner
147	751.009ms	287.122ms	2.62x slower
148	750.792ms	287.385ms	2.61x slower
149	750.792ms	287.126ms	2.61x slower
150	750.822ms	287.140ms	2.61x slower
151	750.796ms	287.159ms	2.61x slower
152	750.798ms	287.117ms	2.61x slower
153	750.720ms	287.316ms	2.61x slower
154	750.809ms	287.157ms	2.61x slower
155	750.769ms	287.104ms	2.61x slower
156	750.762ms	287.137ms	2.61x slower
157	750.351ms	287.379ms	2.61x slower
158	750.611ms	287.241ms	2.61x slower
159	750.006ms	287.269ms	2.61x slower
160	947.729ms	353.730ms	2.68x slower
161	750.689ms	287.116ms	2.61x slower
162	1348.643ms	506.533ms	2.66x slower
163	749.943ms	287.217ms	2.61x slower
164	751.616ms	287.246ms	2.62x slower
165	749.949ms	287.223ms	2.61x slower
166	750.573ms	287.235ms	2.61x slower
167	750.209ms	287.214ms	2.61x slower
168	1431.896ms	539.227ms	2.66x slower
169	1507.226ms	560.767ms	2.69x slower
170	750.266ms	287.272ms	2.61x slower
171	750.021ms	287.228ms	2.61x slower
172	750.041ms	287.334ms	2.61x slower
173	750.023ms	287.232ms	2.61x slower
174	750.038ms	287.328ms	2.61x slower
175	750.891ms	287.463ms	2.61x slower
176	750.356ms	287.467ms	2.61x slower
177	749.945ms	287.477ms	2.61x slower
178	749.938ms	287.289ms	2.61x slower
179	750.164ms	287.491ms	2.61x slower
180	750.053ms	287.239ms	2.61x slower
181	750.140ms	287.193ms	2.61x slower
182	750.270ms	287.218ms	2.61x slower
183	750.235ms	287.250ms	2.61x slower
184	750.303ms	287.554ms	2.61x slower
185	750.006ms	287.286ms	2.61x slower
186	750.976ms	287.335ms	2.61x slower
187	750.714ms	287.100ms	2.61x slower
188	750.731ms	287.315ms	2.61x slower
189	751.314ms	287.092ms	2.62x slower
190	751.024ms	287.121ms	2.62x slower
191	750.994ms	287.129ms	2.62x slower
192	750.958ms	287.091ms	2.62x slower
193	751.025ms	287.080ms	2.62x slower
194	751.188ms	287.035ms	2.62x slower
195	1483.570ms	560.475ms	2.65x slower
196	750.779ms	287.047ms	2.62x slower
197	750.526ms	287.047ms	2.61x slower
198	750.706ms	422.051ms	1.78x slower
199	812.133ms	287.484ms	2.82x slower
200	749.887ms	287.528ms	2.61x slower
201	749.732ms	287.541ms	2.61x slower
202	749.723ms	288.537ms	2.60x slower
203	749.886ms	287.320ms	2.61x slower
204	749.769ms	287.171ms	2.61x slower
205	749.755ms	287.317ms	2.61x slower
206	749.724ms	287.311ms	2.61x slower
207	749.866ms	287.351ms	2.61x slower
208	750.266ms	287.187ms	2.61x slower
209	751.100ms	287.264ms	2.61x slower
210	751.322ms	287.145ms	2.62x slower
211	751.424ms	287.192ms	2.62x slower
212	752.062ms	287.152ms	2.62x slower
213	749.770ms	287.172ms	2.61x slower
214	749.786ms	287.167ms	2.61x slower
215	749.754ms	287.167ms	2.61x slower
216	749.729ms	287.170ms	2.61x slower
217	876.565ms	575.794ms	1.52x slower
218	1242.414ms	580.907ms	2.14x slower
219	1240.058ms	566.349ms	2.19x slower
220	963.012ms	287.246ms	3.35x slower
221	749.914ms	287.294ms	2.61x slower
222	750.222ms	287.600ms	2.61x slower
223	749.963ms	287.229ms	2.61x slower
224	749.937ms	287.233ms	2.61x slower
225	750.340ms	287.235ms	2.61x slower
226	749.925ms	287.142ms	2.61x slower
227	749.886ms	287.202ms	2.61x slower
