char	fast	libc	winner
151	52.017ms	286.496ms	5.51x faster
152	52.025ms	286.558ms	5.51x faster
153	51.145ms	286.523ms	5.60x faster
154	51.976ms	286.653ms	5.52x faster
155	52.035ms	286.578ms	5.51x faster
156	52.002ms	286.566ms	5.51x faster
157	51.994ms	286.760ms	5.52x faster
158	51.998ms	286.858ms	5.52x faster
159	51.285ms	286.491ms	5.59x faster
160	60.990ms	352.833ms	5.79x faster
161	52.016ms	286.520ms	5.51x faster
162	91.233ms	505.272ms	5.54x faster
163	51.292ms	286.578ms	5.59x faster
164	51.287ms	286.476ms	5.59x faster
165	51.352ms	286.514ms	5.58x faster
166	52.012ms	286.729ms	5.51x faster
167	52.008ms	286.471ms	5.51x faster
168	96.726ms	537.840ms	5.56x faster
169	97.190ms	559.277ms	5.75x faster
170	52.005ms	286.691ms	5.51x faster
171	51.285ms	286.485ms	5.59x faster
172	52.010ms	286.479ms	5.51x faster
173	52.012ms	286.468ms	5.51x faster
174	52.010ms	286.510ms	5.51x faster
175	52.004ms	286.450ms	5.51x faster
176	52.008ms	286.510ms	5.51x faster
177	52.012ms	286.489ms	5.51x faster
178	52.021ms	286.477ms	5.51x faster
179	52.008ms	286.477ms	5.51x faster
180	52.016ms	286.478ms	5.51x faster
181	52.023ms	286.474ms	5.51x faster
182	52.020ms	286.466ms	5.51x faster
183	52.024ms	286.487ms	5.51x faster
184	52.017ms	286.471ms	5.51x faster
185	52.002ms	286.976ms	5.52x faster
186	51.153ms	286.441ms	5.60x faster
187	51.960ms	286.450ms	5.51x faster
188	51.987ms	286.408ms	5.51x faster
189	51.989ms	286.408ms	5.51x faster
190	51.996ms	286.410ms	5.51x faster
191	51.966ms	286.420ms	5.51x faster
192	51.253ms	286.401ms	5.59x faster
193	51.992ms	286.399ms	5.51x faster
194	51.992ms	286.396ms	5.51x faster
195	96.831ms	559.181ms	5.77x faster
196	51.979ms	286.402ms	5.51x faster
197	51.980ms	286.396ms	5.51x faster
198	51.985ms	286.391ms	5.51x faster
199	51.989ms	286.669ms	5.51x faster
